country_id,name,nb_dc,pop
AT,Austria,45,9154514
BE,Belgium,47,11653650
BG,Bulgaria,30,6447710
CY,Cyprus,18,966400
CZ,Czechia,49,10879069
DE,Germany,424,83510750
DK,Denmark,55,5959654
CH,Switzerland,109,8931906
FI,Finland,50,5559869
FR,France,264,68513000
EE,Estonia,12,1369285
EL,Greece,19,10248905
ES,Spain,156,49077984
IE,Ireland,121,5149139
HR,Croatia,15,3879078
HU,Hungary,16,9584627
IT,Italy,169,58974433
NL,Netherlands,192,18005142
LT,Lithuania,14,2889888
LV,Latvia,22,1863700
PL,Poland,84,37552000
PT,Portugal,41,10639726
RO,Romania,59,19064439
NO,Norway,65,5571634
SE,Sweden,99,10576145
SI,Slovenia,20,2107180
SK,Slovakia,13,5426148
UK,United Kingdom,418,68265208
